word1,word2,SimLex999,POS,emb1,emb2,similarity_score
paard,veulen,5.75,N,"tensor([18.7568, -0.1176, 25.3797,  ..., 14.8750, 11.1299, 12.0691])","tensor([18.5591, -0.3785, 34.7888,  ..., 23.3498, 12.5377, 18.3436])",0.98147446
actrice,acteur,8.33,N,"tensor([19.9407, -0.2530, 25.9429,  ..., 16.7745, 11.2306, 13.4115])","tensor([12.1119, -0.2272, 30.9857,  ..., 17.4389, 10.9985, 13.9100])",0.9903617
leraar,instructeur,7.67,N,"tensor([19.5119, -0.3978, 28.3065,  ..., 18.8397, 11.6276, 15.1106])","tensor([19.4998, -0.2581, 28.5003,  ..., 20.5165, 11.0618, 14.8137])",0.99193126
film,filmrol,3.92,N,"tensor([25.8275, -0.4135, 38.5549,  ..., 22.5262, 14.0420, 19.8293])","tensor([20.4179, -0.2735, 29.4557,  ..., 18.7907, 12.4885, 15.7287])",0.9965006
vogel,havik,4.52,N,"tensor([38.8641, -0.3488, 45.5129,  ..., 26.3576, 15.5097, 23.0467])","tensor([18.0742, -0.1647, 24.3193,  ..., 16.0885, 11.1196, 11.8260])",0.9892702
woord,woordenboek,2.48,N,"tensor([21.5581, -0.0550, 23.7840,  ..., 11.9229, 10.5528, 11.1453])","tensor([26.4622, -0.6923, 44.4696,  ..., 25.2229, 14.0956, 22.1925])",0.9870133
geld,salaris,6.29,N,"tensor([21.1089, -0.0930, 24.6994,  ..., 12.7323, 10.5832, 12.2649])","tensor([19.1992, -0.1256, 24.8869,  ..., 15.2223, 11.2826, 12.4725])",0.9904123
hond,kat,3.26,N,"tensor([21.7503, -0.0448, 23.1284,  ..., 12.4904, 10.0120, 10.9327])","tensor([25.5438, -0.4299, 33.9135,  ..., 20.3908, 13.5084, 17.7012])",0.9864694
gebied,regio,8.46,N,"tensor([26.4008, -0.3508, 37.2649,  ..., 21.1867, 13.4488, 18.7250])","tensor([28.9338, -0.4612, 38.7684,  ..., 22.0207, 15.3288, 20.1747])",0.9946146
marine,leger,6.68,N,"tensor([20.5307, -0.1483, 22.9462,  ..., 12.7801, 10.2085, 11.2355])","tensor([22.6961, -0.4226, 42.7588,  ..., 24.5646, 14.0778, 21.1969])",0.9854222
boek,literatuur,6.74,N,"tensor([37.9573, -0.3813, 45.0609,  ..., 27.2901, 15.5794, 22.9110])","tensor([19.2758, -0.1485, 24.0573,  ..., 14.4929,  9.6020, 11.5999])",0.99030584
kleding,kast,3.2,N,"tensor([20.6287, -0.2498, 28.2298,  ..., 16.0004, 11.3002, 13.6142])","tensor([21.8285, -0.2711, 28.8268,  ..., 18.6923, 11.1584, 14.7166])",0.99105144
zonsondergang,zonsopgang,3.67,N,"tensor([20.7939, -0.3161, 30.2015,  ..., 19.0313, 10.3857, 15.5591])","tensor([16.1762, -0.6089, 37.3500,  ..., 26.6766, 12.4115, 19.2364])",0.9958768
kind,volwassen,3.1,N,"tensor([32.1683, -0.1810, 40.4828,  ..., 22.2465, 14.3653, 19.4824])","tensor([17.0510, -0.1779, 26.3820,  ..., 12.6380, 11.7525, 12.2260])",0.9810068
koe,vee,6.72,N,"tensor([34.1308, -0.2351, 40.8346,  ..., 22.3852, 13.6242, 19.9643])","tensor([33.6653, -0.3411, 39.8961,  ..., 23.1106, 13.9378, 20.3389])",0.9985187
boek,verhaal,5.15,N,"tensor([37.9573, -0.3813, 45.0609,  ..., 27.2901, 15.5794, 22.9110])","tensor([36.6167, -0.3205, 43.5064,  ..., 25.6017, 15.6814, 21.9752])",0.9989384
winter,zomer,4.16,N,"tensor([35.8308, -0.2599, 43.4767,  ..., 24.9194, 15.2207, 21.8411])","tensor([28.8649, -0.3985, 37.4823,  ..., 22.6583, 14.9176, 19.9832])",0.9952185
taxi,taxi's,8.17,N,"tensor([22.7371, -0.1185, 31.7116,  ..., 17.5013, 11.6835, 15.9331])","tensor([23.2502, -0.4115, 38.3241,  ..., 25.4918, 13.8687, 20.6036])",0.99595106
boom,esdoorn,4.05,N,"tensor([32.5086, -0.2578, 41.6868,  ..., 23.2064, 14.7312, 20.1842])","tensor([17.5037, -0.2312, 25.6164,  ..., 16.7209, 11.7877, 12.6243])",0.9880514
bed,slaapkamer,2.52,N,"tensor([21.2484, -0.0406, 23.4908,  ..., 13.8486,  9.9246, 11.8542])","tensor([19.5475, -0.4290, 45.2344,  ..., 28.0269, 15.3376, 22.3451])",0.9928143
dak,plafond,6.25,N,"tensor([20.7530, -0.3421, 39.9540,  ..., 24.1483, 13.9461, 19.3138])","tensor([35.7585, -0.2090, 42.5912,  ..., 24.7226, 13.9902, 21.2615])",0.9970326
ziekte,infectie,6.07,N,"tensor([36.8489, -0.3234, 43.0834,  ..., 23.9035, 15.4066, 21.7711])","tensor([18.3418, -0.1948, 26.1438,  ..., 16.0813, 10.2823, 13.2505])",0.992321
arm,schouder,4.76,N,"tensor([17.4420, -0.2965, 37.8991,  ..., 22.4461, 13.0824, 18.2898])","tensor([23.0658, -0.4876, 44.3510,  ..., 27.6087, 14.5388, 22.1605])",0.99704355
schaap,lam,4.94,N,"tensor([20.1712, -0.5473, 33.7921,  ..., 24.7659, 16.5355, 17.6352])","tensor([20.9230, -0.3268, 29.7025,  ..., 19.9442, 13.9311, 15.1580])",0.9910455
dame,meneer,2.55,N,"tensor([18.1792, -0.2914, 38.1338,  ..., 22.1730, 12.7637, 17.9035])","tensor([20.6192, -0.2476, 28.6806,  ..., 17.8217, 10.3069, 15.3670])",0.9904169
boot,anker,1.98,N,"tensor([35.9183, -0.2397, 40.8114,  ..., 23.6506, 14.0686, 20.0845])","tensor([18.8668, -0.3573, 26.5464,  ..., 16.0006, 11.3512, 13.8893])",0.9897009
priester,monnik,3.98,N,"tensor([19.6066, -0.2919, 27.9679,  ..., 17.3182, 11.3370, 14.4648])","tensor([21.2302, -0.2398, 28.4581,  ..., 16.7198, 11.6347, 14.6878])",0.99519557
teen,vinger,3.25,N,"tensor([36.4353, -0.2228, 42.3287,  ..., 23.3580, 15.0237, 21.2145])","tensor([29.7666, -0.5231, 41.9790,  ..., 24.0715, 14.3227, 21.7884])",0.99573696
rivier,stroom,5.33,N,"tensor([23.0771, -0.3018, 32.7904,  ..., 19.5677, 13.8435, 16.9924])","tensor([17.2728, -0.0572, 21.9372,  ..., 13.1762,  9.6854, 10.8787])",0.9922195
boosheid,woede,8.87,N,"tensor([19.8791, -0.3631, 30.5309,  ..., 19.2433, 11.6989, 15.7246])","tensor([18.2418, -0.2657, 26.2486,  ..., 15.1637, 11.9973, 13.0743])",0.99078375
datum,kalender,4.26,N,"tensor([33.8512, -0.3194, 43.4357,  ..., 25.6736, 14.5844, 21.8825])","tensor([13.3161, -0.2745, 35.3370,  ..., 20.9683, 11.5321, 16.6412])",0.99612975
zee,oceaan,7.11,N,"tensor([21.2050, -0.5150, 41.3038,  ..., 27.0631, 15.3536, 21.6858])","tensor([18.9622, -0.4036, 31.3374,  ..., 18.4006, 12.1166, 16.4285])",0.9942914
seconde,minuut,3.83,N,"tensor([23.2718, -0.2337, 27.9621,  ..., 16.6231, 10.9037, 14.1373])","tensor([14.7295, -0.2560, 34.9770,  ..., 20.6847, 12.0274, 16.4450])",0.99447775
hand,duim,2.81,N,"tensor([26.8213, -0.5293, 37.4150,  ..., 25.0725, 14.5729, 20.2010])","tensor([19.1226, -0.2365, 26.2093,  ..., 16.5424, 12.2949, 12.9293])",0.9907907
hout,stam,2.84,N,"tensor([37.8277, -0.3870, 44.5551,  ..., 25.4931, 16.1677, 22.3524])","tensor([23.3696, -0.3322, 39.4369,  ..., 19.7187, 14.1187, 18.5026])",0.99052656
modder,vuil,5.25,N,"tensor([22.2760, -0.2803, 31.0415,  ..., 17.7234, 11.6523, 15.9996])","tensor([19.0285, -0.3740, 27.9521,  ..., 17.7307, 12.8570, 14.0654])",0.9878938
hal,gang,7.99,N,"tensor([21.2951, -0.1464, 24.8935,  ..., 15.1403, 11.3760, 12.5386])","tensor([30.8244, -0.2235, 44.2343,  ..., 24.5334, 14.9851, 21.2633])",0.9878972
weg,manier,3.87,N,"tensor([35.2554, -0.2574, 40.1325,  ..., 23.7217, 14.0075, 20.1224])","tensor([24.2954, -0.2404, 33.2163,  ..., 19.1899, 11.9476, 16.4731])",0.99706334
muis,kat,2.35,N,"tensor([18.0063, -0.2521, 25.1811,  ..., 16.4689, 11.5157, 12.4477])","tensor([25.5438, -0.4299, 33.9135,  ..., 20.3908, 13.5084, 17.7012])",0.98920196
politieagent,sheriff,4.8,N,"tensor([22.4977, -0.3727, 33.1589,  ..., 21.1840, 11.3343, 17.8464])","tensor([18.7865, -0.1747, 26.3382,  ..., 16.5328, 10.6070, 13.5127])",0.988934
dood,begrafenis,3.67,N,"tensor([25.7028, -0.4584, 35.5266,  ..., 21.6574, 14.3589, 18.3925])","tensor([17.4162, -0.5456, 36.5351,  ..., 24.2872, 12.1575, 19.3581])",0.9924683
muziek,melodie,5.26,N,"tensor([17.9935, -0.1516, 23.3673,  ..., 12.7103, 10.5388, 10.9753])","tensor([25.4837, -0.4979, 37.7840,  ..., 23.8139, 13.3678, 19.7351])",0.97203875
bier,alcohol,5.08,N,"tensor([20.1803, -0.2302, 26.8625,  ..., 15.6531, 10.4232, 13.4030])","tensor([26.5526, -0.2261, 37.5088,  ..., 22.5715, 14.0857, 19.0036])",0.9906338
mond,lip,5.79,N,"tensor([ 3.7534, -0.4829, 43.2435,  ..., 26.3349, 13.2673, 19.7665])","tensor([24.3532, -0.1899, 33.4363,  ..., 20.3693, 12.6845, 16.0341])",0.9908296
storm,orkaan,7.09,N,"tensor([24.0187, -0.1952, 28.3798,  ..., 16.6584, 11.4017, 14.7120])","tensor([20.4576, -0.2826, 27.6341,  ..., 15.8856, 11.7225, 13.8940])",0.9910295
belasting,inkomen,2.93,N,"tensor([33.8668, -0.3795, 45.0994,  ..., 27.1201, 14.8913, 22.5252])","tensor([21.8926, -0.1761, 28.4376,  ..., 17.2413, 10.9008, 14.5348])",0.99438155
bloem,viooltjes,6.12,N,"tensor([21.6124, -0.1398, 27.4616,  ..., 15.4473, 10.9705, 13.0638])","tensor([25.2533, -0.1973, 28.4904,  ..., 17.8311, 10.2179, 14.4759])",0.9907798
papier,karton,4.51,N,"tensor([31.1370, -0.3406, 42.2985,  ..., 24.7802, 14.4387, 21.6507])","tensor([35.9169, -0.2651, 42.3232,  ..., 24.4977, 14.1180, 21.2768])",0.9987826
vloer,plafond,1.93,N,"tensor([26.7979, -0.4764, 38.5677,  ..., 22.1532, 14.9492, 19.0639])","tensor([35.7585, -0.2090, 42.5912,  ..., 24.7226, 13.9902, 21.2615])",0.9925473
strand,kust,7.2,N,"tensor([23.1045, -0.2052, 31.4717,  ..., 17.7417, 11.7398, 15.1743])","tensor([35.3189, -0.3047, 40.9154,  ..., 24.1616, 14.3704, 20.4649])",0.9936211
staaf,gordijn,2.11,N,"tensor([18.3988, -0.2220, 24.6604,  ..., 16.3545, 10.5497, 12.5933])","tensor([16.9748, -0.2705, 26.5852,  ..., 17.6649, 10.1578, 13.1320])",0.99461085
jachthond,vos,2.99,N,"tensor([17.3681, -0.3353, 29.1407,  ..., 20.0328, 11.4561, 15.2680])","tensor([33.7420, -0.3161, 39.7558,  ..., 23.5857, 14.0738, 20.0841])",0.991905
straat,auto,0.89,N,"tensor([27.1531, -0.3666, 38.1005,  ..., 21.5867, 13.7175, 20.2680])","tensor([25.0211, -0.1958, 29.5295,  ..., 16.9361, 12.3915, 15.2162])",0.98350495
boot,dek,3.27,N,"tensor([35.9183, -0.2397, 40.8114,  ..., 23.6506, 14.0686, 20.0845])","tensor([23.1285, -0.2704, 31.4705,  ..., 20.0329, 12.4995, 16.0101])",0.99220985
auto,toeter,1.83,N,"tensor([25.0211, -0.1958, 29.5295,  ..., 16.9361, 12.3915, 15.2162])","tensor([21.1743, -0.1753, 27.8774,  ..., 16.5956,  9.8739, 14.6598])",0.98832154
vriend,gast,2.89,N,"tensor([28.2194, -0.3105, 38.7789,  ..., 21.5508, 13.6061, 19.2505])","tensor([22.1520, -0.1847, 26.7856,  ..., 16.1605,  9.9893, 13.3409])",0.9947285
werkgever,werknemer,2.86,N,"tensor([37.0142, -0.2951, 42.0338,  ..., 23.8653, 15.3327, 21.1923])","tensor([23.0825, -0.2925, 29.7805,  ..., 17.5822, 11.9292, 15.5869])",0.9913277
hand,pols,2.55,N,"tensor([26.8213, -0.5293, 37.4150,  ..., 25.0725, 14.5729, 20.2010])","tensor([24.9648, -0.3589, 35.5874,  ..., 25.6320, 14.2760, 19.1557])",0.99240124
bal,kostuum,2.64,N,"tensor([24.6686, -0.2643, 32.1034,  ..., 18.8693, 12.7767, 15.6932])","tensor([19.1183, -0.1988, 24.1221,  ..., 15.5356, 11.4108, 11.9905])",0.9846299
alcohol,brandewijn,3.75,N,"tensor([26.5526, -0.2261, 37.5088,  ..., 22.5715, 14.0857, 19.0036])","tensor([19.0721, -0.2935, 29.5518,  ..., 20.1149, 12.2930, 14.7118])",0.9899029
overwinning,zege,7.93,N,"tensor([21.1022, -0.2569, 29.1275,  ..., 17.5189, 11.3949, 14.6981])","tensor([19.0816, -0.2780, 26.4480,  ..., 15.6365, 11.8041, 13.6648])",0.9937825
telefoon,cel,2.21,N,"tensor([38.9614, -0.3906, 45.3225,  ..., 26.3027, 15.2111, 22.7125])","tensor([21.2659, -0.4579, 42.1515,  ..., 25.7811, 15.0530, 20.9275])",0.9969213
deur,ingang,6.43,N,"tensor([23.4107, -0.4092, 33.9701,  ..., 22.0681, 11.4706, 17.1158])","tensor([22.5166, -0.3326, 30.2071,  ..., 19.6708, 11.3608, 15.4826])",0.99441
motel,herberg,6.85,N,"tensor([19.3441, -0.3436, 28.0954,  ..., 17.1376, 10.9625, 14.4581])","tensor([20.6499, -0.1631, 26.3673,  ..., 15.0556, 10.7298, 13.1132])",0.99071693
kleding,stof,4.88,N,"tensor([20.6287, -0.2498, 28.2298,  ..., 16.0004, 11.3002, 13.6142])","tensor([33.9730, -0.3466, 41.1713,  ..., 24.7490, 14.1859, 20.8120])",0.99188316
steak,vlees,6.13,N,"tensor([20.8739, -0.2572, 29.5983,  ..., 19.2786, 11.3816, 15.7174])","tensor([35.8004, -0.3048, 42.7537,  ..., 25.0305, 15.1329, 21.3571])",0.99136525
nagel,duim,4.46,N,"tensor([21.3425, -0.2448, 29.7564,  ..., 17.9882, 11.1431, 15.1458])","tensor([19.1226, -0.2365, 26.2093,  ..., 16.5424, 12.2949, 12.9293])",0.9886786
muziekgroep,orkest,8.04,N,"tensor([24.6190, -0.5938, 38.1138,  ..., 22.1434, 14.2677, 20.1111])","tensor([18.6782, -0.4178, 38.2183,  ..., 23.0291, 12.7085, 19.1784])",0.9902829
boek,bijbel,4.72,N,"tensor([37.9573, -0.3813, 45.0609,  ..., 27.2901, 15.5794, 22.9110])","tensor([17.4886, -0.2812, 24.9490,  ..., 14.1203, 12.0353, 12.2993])",0.98960215
bedrijf,industrie,4.18,N,"tensor([26.5663, -0.4143, 38.8010,  ..., 20.5456, 13.4742, 18.9653])","tensor([37.4789, -0.3048, 43.1218,  ..., 24.9880, 15.3918, 21.8237])",0.9922576
winter,seizoen,5.08,N,"tensor([35.8308, -0.2599, 43.4767,  ..., 24.9194, 15.2207, 21.8411])","tensor([26.7717, -0.4258, 38.0788,  ..., 20.5688, 12.9659, 18.6845])",0.99481153
decennium,eeuw,2.55,N,"tensor([19.8905, -0.2825, 27.1973,  ..., 17.4626, 10.3310, 13.9016])","tensor([20.1573, -0.1099, 22.7553,  ..., 11.3204, 10.5885, 10.8652])",0.98399854
alcohol,jenever,4.57,N,"tensor([26.5526, -0.2261, 37.5088,  ..., 22.5715, 14.0857, 19.0036])","tensor([18.2518, -0.3076, 25.3166,  ..., 15.9198, 12.4806, 13.0332])",0.98864836
hoed,jas,1.54,N,"tensor([19.1023, -0.2334, 27.0846,  ..., 16.1025, 10.7594, 13.8800])","tensor([21.5858, -0.3399, 30.5284,  ..., 21.3298, 13.6651, 15.5890])",0.99365956
raam,deur,3.31,N,"tensor([19.1948, -0.3107, 40.0205,  ..., 24.7167, 13.1965, 19.0442])","tensor([23.4107, -0.4092, 33.9701,  ..., 22.0681, 11.4706, 17.1158])",0.9957935
arm,pols,3.64,N,"tensor([17.4420, -0.2965, 37.8991,  ..., 22.4461, 13.0824, 18.2898])","tensor([24.9648, -0.3589, 35.5874,  ..., 25.6320, 14.2760, 19.1557])",0.99441826
huis,appartement,6.3,N,"tensor([35.9505, -0.2995, 41.3835,  ..., 24.8374, 14.5731, 20.9793])","tensor([36.2719, -0.1942, 41.8967,  ..., 23.8294, 13.7934, 20.7334])",0.9985753
glas,kristal,6.08,N,"tensor([33.3807, -0.3194, 41.7342,  ..., 24.6692, 13.7300, 21.2495])","tensor([23.4551, -0.2300, 32.5920,  ..., 18.2739, 12.0159, 15.5514])",0.9944859
wijn,brandewijn,3.29,N,"tensor([28.1218, -0.4266, 39.9419,  ..., 21.0816, 14.1948, 19.7124])","tensor([19.0721, -0.2935, 29.5518,  ..., 20.1149, 12.2930, 14.7118])",0.9881153
maker,producent,7.82,N,"tensor([10.9474, -0.2355, 29.1731,  ..., 17.1707, 11.4136, 13.3537])","tensor([37.2383, -0.3283, 43.1268,  ..., 25.5133, 15.7572, 22.0278])",0.99228346
diner,ontbijt,2.5,N,"tensor([20.9324, -0.2166, 27.9456,  ..., 17.5216, 10.6123, 14.7877])","tensor([20.3249, -0.3560, 39.2231,  ..., 23.0863, 13.8760, 19.4207])",0.98855263
arm,spier,2.86,N,"tensor([17.4420, -0.2965, 37.8991,  ..., 22.4461, 13.0824, 18.2898])","tensor([17.6095, -0.2124, 24.1528,  ..., 14.8992, 10.7241, 12.2579])",0.9909472
bubbel,schuim,4.14,N,"tensor([22.4555, -0.3802, 33.3598,  ..., 21.4247, 11.7179, 17.2189])","tensor([17.0449, -0.3292, 24.6150,  ..., 17.6377, 12.7803, 12.6162])",0.97992414
brood,meel,4.62,N,"tensor([36.5489, -0.3273, 43.2678,  ..., 25.3222, 15.0583, 21.9696])","tensor([34.6040, -0.3430, 42.2365,  ..., 25.4089, 13.8000, 21.0501])",0.9989139
dood,tragedie,5.43,N,"tensor([25.7028, -0.4584, 35.5266,  ..., 21.6574, 14.3589, 18.3925])","tensor([17.3334, -0.1718, 24.1624,  ..., 15.5517, 10.0109, 12.3819])",0.9928782
afwezigheid,aanwezigheid,2.54,N,"tensor([19.8011, -0.4983, 33.9799,  ..., 21.9942, 12.1236, 17.3337])","tensor([19.1559, -0.2550, 26.3675,  ..., 15.5493, 10.1868, 12.8820])",0.99295956
pistool,kanon,4.19,N,"tensor([16.9340, -0.0880, 19.8658,  ..., 11.7478, 10.1052,  9.5324])","tensor([20.8856, -0.3192, 29.8152,  ..., 18.3752, 12.9058, 15.3313])",0.98565507
gras,stro,3.93,N,"tensor([21.4439, -0.1478, 26.2422,  ..., 14.9400, 10.1403, 12.8546])","tensor([19.7941, -0.1200, 23.5137,  ..., 12.9571, 11.2783, 11.5802])",0.99224603
bal,mand,1.81,N,"tensor([24.6686, -0.2643, 32.1034,  ..., 18.8693, 12.7767, 15.6932])","tensor([18.6173, -0.1200, 23.2168,  ..., 12.5992, 11.1770, 11.0232])",0.9801784
slang,tuin,1.54,N,"tensor([23.6449, -0.2257, 32.8833,  ..., 18.6060, 12.0877, 15.8649])","tensor([22.4576, -0.0973, 28.0585,  ..., 14.5314, 10.0860, 13.5390])",0.9959846
jongen,kind,3.78,N,"tensor([20.2600, -0.3505, 27.8980,  ..., 18.3563, 12.0481, 14.3791])","tensor([32.1683, -0.1810, 40.4828,  ..., 22.2465, 14.3653, 19.4824])",0.9853712
kerk,koor,1.89,N,"tensor([17.0922, -0.1444, 23.6386,  ..., 13.4355, 11.1874, 10.9142])","tensor([21.9127, -0.4205, 41.5471,  ..., 23.7208, 13.3036, 20.5002])",0.9789576
kleding,lade,1.82,N,"tensor([20.6287, -0.2498, 28.2298,  ..., 16.0004, 11.3002, 13.6142])","tensor([20.7978, -0.4346, 41.5835,  ..., 24.4180, 14.1355, 20.5285])",0.99061984
toren,bel,1.96,N,"tensor([20.6512, -0.3601, 31.2041,  ..., 18.7112, 13.6371, 15.7840])","tensor([20.6571, -0.0905, 21.4045,  ..., 11.7596,  9.6305, 10.2273])",0.9852714
vader,ouder,6.89,N,"tensor([36.8581, -0.3433, 44.8114,  ..., 26.8631, 15.3912, 22.6384])","tensor([20.5970, -0.1130, 24.0399,  ..., 13.5487, 10.2928, 11.5544])",0.9875602
school,cijfer,3.76,N,"tensor([27.5134, -0.5044, 40.3383,  ..., 25.2969, 16.1958, 21.1571])","tensor([15.8528, -0.4743, 36.6088,  ..., 23.1442, 12.4603, 19.0846])",0.9887258
ouder,volwassene,5.33,N,"tensor([20.5970, -0.1130, 24.0399,  ..., 13.5487, 10.2928, 11.5544])","tensor([15.9678, -0.5683, 41.4027,  ..., 25.0354, 12.7784, 20.1208])",0.98430717
balk,gevangenis,1.42,N,"tensor([20.4694, -0.2277, 27.8315,  ..., 17.0622, 11.9398, 14.0880])","tensor([19.7025, -0.2330, 26.5166,  ..., 15.4300, 11.1146, 12.7246])",0.9890179
auto,snelweg,3.12,N,"tensor([25.0211, -0.1958, 29.5295,  ..., 16.9361, 12.3915, 15.2162])","tensor([18.6389, -0.2191, 26.8728,  ..., 16.4899,  9.8992, 13.3671])",0.98868376
woordenboek,definitie,2.42,N,"tensor([26.4622, -0.6923, 44.4696,  ..., 25.2229, 14.0956, 22.1925])","tensor([18.2100, -0.2892, 26.0219,  ..., 16.4409, 10.7500, 13.4480])",0.9911995
deur,kelder,1.29,N,"tensor([23.4107, -0.4092, 33.9701,  ..., 22.0681, 11.4706, 17.1158])","tensor([17.3875, -0.1548, 21.4774,  ..., 12.9154, 10.7311, 10.8142])",0.9866864
leger,legioen,6.66,N,"tensor([22.6961, -0.4226, 42.7588,  ..., 24.5646, 14.0778, 21.1969])","tensor([14.4518, -0.4424, 35.8446,  ..., 22.7814, 13.0134, 17.8840])",0.9965083
metaal,aluminium,4.56,N,"tensor([18.4401, -0.2693, 25.3916,  ..., 14.2351, 10.5524, 12.8246])","tensor([36.9155, -0.2614, 42.2533,  ..., 24.2364, 15.2291, 20.6342])",0.99013907
stoel,bank,2.67,N,"tensor([15.5252, -0.2851, 32.0379,  ..., 19.3457, 11.3463, 15.9688])","tensor([36.6349, -0.3752, 44.5658,  ..., 24.5102, 15.2255, 22.2576])",0.994177
wolk,mist,6.5,N,"tensor([18.8228, -0.3689, 27.4718,  ..., 17.4197, 12.3180, 14.1272])","tensor([16.8565, -0.2953, 25.8797,  ..., 14.1590, 12.0397, 12.2573])",0.98377347
jongen,zoon,6.1,N,"tensor([20.2600, -0.3505, 27.8980,  ..., 18.3563, 12.0481, 14.3791])","tensor([20.7835, -0.1671, 24.6671,  ..., 13.6427, 11.2873, 12.1003])",0.9927701
water,ijs,3.37,N,"tensor([24.4791, -0.4137, 39.1093,  ..., 20.6874, 13.5681, 18.5780])","tensor([12.4509, -0.4233, 34.0913,  ..., 21.1907, 10.6755, 16.6586])",0.9845035
bed,deken,3.27,N,"tensor([21.2484, -0.0406, 23.4908,  ..., 13.8486,  9.9246, 11.8542])","tensor([21.8744, -0.2976, 31.4438,  ..., 19.0149, 12.1943, 16.2430])",0.9887804
officier van justitie,advocaat,3.25,N,"tensor([24.6974, -0.8432, 49.3479,  ..., 31.9308, 13.9815, 25.3953])","tensor([19.0655, -0.4156, 29.1075,  ..., 17.4727, 13.3272, 15.3652])",0.98597276
gebied,zone,8.42,N,"tensor([26.4008, -0.3508, 37.2649,  ..., 21.1867, 13.4488, 18.7250])","tensor([36.0291, -0.2318, 42.5391,  ..., 24.8309, 14.4028, 21.2250])",0.995186
bedrijf,onderneming,8.72,N,"tensor([26.5663, -0.4143, 38.8010,  ..., 20.5456, 13.4742, 18.9653])","tensor([37.0028, -0.2955, 41.8669,  ..., 23.2282, 14.6146, 20.9657])",0.99390566
kleding,textiel,4.69,N,"tensor([20.6287, -0.2498, 28.2298,  ..., 16.0004, 11.3002, 13.6142])","tensor([14.8908, -0.2491, 26.8734,  ..., 16.4260, 10.5787, 13.0344])",0.9936598
trui,jas,4.26,N,"tensor([19.1182, -0.3599, 26.9613,  ..., 19.2096, 12.2847, 14.2979])","tensor([21.5858, -0.3399, 30.5284,  ..., 21.3298, 13.6651, 15.5890])",0.9930893
geld,vermogen,6.36,N,"tensor([21.1089, -0.0930, 24.6994,  ..., 12.7323, 10.5832, 12.2649])","tensor([17.9918, -0.3209, 36.8071,  ..., 21.5424, 12.0233, 17.9577])",0.98780185
hand,voet,3.12,N,"tensor([26.8213, -0.5293, 37.4150,  ..., 25.0725, 14.5729, 20.2010])","tensor([35.3138, -0.2879, 42.4393,  ..., 24.1021, 14.6684, 21.5107])",0.99257404
alcohol,cocktail,5.68,N,"tensor([26.5526, -0.2261, 37.5088,  ..., 22.5715, 14.0857, 19.0036])","tensor([34.9664, -0.2257, 43.9475,  ..., 26.1771, 15.1821, 21.8717])",0.9964683
decimeter,centimeter,3.23,N,"tensor([15.3034, -0.1131, 20.3942,  ..., 11.8145,  9.5610, 10.0566])","tensor([36.8374, -0.2657, 42.1027,  ..., 25.8974, 14.7742, 21.1963])",0.9867577
molecuul,atoom,4.95,N,"tensor([17.5017, -0.2034, 24.6383,  ..., 16.4976, 11.9810, 13.2193])","tensor([20.0782, -0.2099, 27.3875,  ..., 16.8068, 10.2641, 14.4020])",0.9913116
lens,camera,3.1,N,"tensor([23.5759, -0.4071, 33.6018,  ..., 23.3277, 13.8434, 17.5497])","tensor([33.5512, -0.3051, 41.1181,  ..., 24.7025, 14.5795, 21.0609])",0.9935635
maaltijd,diner,6.75,N,"tensor([22.7490, -0.3985, 44.8327,  ..., 26.5764, 15.2399, 22.1028])","tensor([20.9324, -0.2166, 27.9456,  ..., 17.5216, 10.6123, 14.7877])",0.9939949
oog,traan,4.61,N,"tensor([33.3615, -0.2854, 40.8632,  ..., 23.2375, 14.0376, 20.1951])","tensor([16.9270, -0.2996, 24.2219,  ..., 15.5408, 11.3620, 12.1307])",0.9816995
god,duivel,2.14,N,"tensor([35.5537, -0.2683, 42.5880,  ..., 25.1928, 14.6627, 21.1282])","tensor([20.4808, -0.2995, 29.7025,  ..., 17.6821, 12.6074, 14.9151])",0.9906189
lus,riem,2.38,N,"tensor([17.4360, -0.1877, 23.6365,  ..., 14.3655, 10.9054, 11.4981])","tensor([13.8941, -0.3775, 36.1535,  ..., 21.2863, 13.3382, 17.5444])",0.9916281
rat,muis,4.75,N,"tensor([22.7036, -0.2347, 27.5199,  ..., 15.5721, 11.4716, 13.6403])","tensor([18.0063, -0.2521, 25.1811,  ..., 16.4689, 11.5157, 12.4477])",0.99257547
motor,aandrijving,5.24,N,"tensor([24.3987, -0.2924, 35.5800,  ..., 19.7122, 13.6998, 17.7213])","tensor([18.4569, -0.3110, 30.1782,  ..., 19.5939, 11.0430, 15.9828])",0.9930864
auto,taxi,5.4,N,"tensor([25.0211, -0.1958, 29.5295,  ..., 16.9361, 12.3915, 15.2162])","tensor([22.7371, -0.1185, 31.7116,  ..., 17.5013, 11.6835, 15.9331])",0.9928337
kat,leeuw,3.33,N,"tensor([25.5438, -0.4299, 33.9135,  ..., 20.3908, 13.5084, 17.7012])","tensor([25.0597, -0.3806, 35.6007,  ..., 20.8868, 12.9150, 17.9956])",0.9905546
maat,omvang,5.5,N,"tensor([25.1913, -0.3506, 34.4290,  ..., 21.2961, 12.3006, 17.2483])","tensor([26.8726, -0.6364, 41.0595,  ..., 25.6649, 14.0693, 21.9193])",0.9930032
